id,active,owner,tentant,name,address1,city,state,zip,country,email,home_phone,work_phone,cell_phone,other_phone
286,1,1,0,Mrs. Amy Hill,120 Kyle Street,Benkelman,NE,69021,United States,AmyCHill@einrot.com,,,,308-420-9413
287,1,1,0,Mr. Paul McGaha,3366 René-Lévesque Blvd,Montreal,QC,H3B 4W8,Canada,PaulKMcGaha@gustr.com,514-839-6380,,,
288,1,1,0,Mr. Jeffrey Blair,4546 Rainy Day Drive,Cambridge,MA,2142,United States,JeffreyWBlair@jourrapide.com,,617-990-5893,,
289,1,1,0,Ms. Alice Cox,3496 Saints Alley,Tampa,FL,33624,United States,AliceACox@rhyta.com,,,,813-720-8571
290,0,1,0,Ms. Mary Brown,2930 Mount Tabor,Poughkeepsie,NY,12603,United States,MaryJBrown@cuvox.de,,,,914-541-0425
291,1,1,0,Mr. George Cypert,961 Blind Bay Road,Blue River,BC,V0E 1J0,Canada,GeorgeHCypert@einrot.com,,,,250-673-0195
292,1,1,0,Ms. Margaret Pratt,4915 Spruce Drive,Bridgeville,PA,15017,United States,MargaretDPratt@jourrapide.com,,,,724-944-3242
293,1,1,0,Ms. Shirley Burnham,1655 Aaron Smith Drive,York,PA,17401,United States,ShirleyVBurnham@rhyta.com,,717-759-9391,,
294,0,0,1,Dr. Mary Warwick,4790 Neuport Lane,Cartersville,GA,30120,United States,MaryEWarwick@fleckens.hu,770-383-4177,,,
295,1,0,1,Mr. David Harper,1117 184th Street,Edmonton,AB,T5J 2R4,Canada,DavidNHarper@cuvox.de,,,780-722-7463,
296,1,0,1,Ms. Claudia Pisano,288 7th Ave,Calgary,AB,T2P 0W4,Canada,ClaudiaGPisano@superrito.com,,,403-241-6726,
297,1,1,0,Mr. Stephen Huseby,403 40th Street,Calgary,AB,T2A 1C8,Canada,StephenDHuseby@jourrapide.com,403-272-0138,,,
298,1,1,0,Mr. Jose Brinegar,4269 Red Bud Lane,Newark,NJ,7102,United States,JoseEBrinegar@gustr.com,862-227-2827,,,
299,0,0,1,Mr. Robert Schultz,4891 St Jean Baptiste St,Parent,QC,G0A 2V0,Canada,RobertGSchultz@armyspy.com,,,819-667-5978,
